,categories,test_takers,total_mean,erw_mean,math_mean,met_both,met_neither,erw_met,math_met,year,state,participation
890,male,7635.0,1061.0,529.0,533.0,0.48,0.3,0.67,0.5,2018,new-hampshire,0.96
891,total,84672.0,1094.0,547.0,547.0,0.53,0.24,0.74,0.55,2018,new-jersey,0.82
892,native,190.0,954.0,476.0,478.0,0.29,0.52,0.46,0.32,2018,new-jersey,0.82
893,asian,9534.0,1261.0,612.0,649.0,0.81,0.08,0.89,0.84,2018,new-jersey,0.82
894,black,10412.0,955.0,484.0,471.0,0.24,0.48,0.5,0.26,2018,new-jersey,0.82
895,latino,19906.0,996.0,500.0,496.0,0.33,0.4,0.57,0.36,2018,new-jersey,0.82
896,pacific,102.0,1009.0,507.0,503.0,0.37,0.44,0.54,0.39,2018,new-jersey,0.82
897,white,38919.0,1149.0,575.0,573.0,0.66,0.11,0.87,0.68,2018,new-jersey,0.82
898,multi,2444.0,1132.0,567.0,565.0,0.59,0.18,0.8,0.62,2018,new-jersey,0.82
899,no_race,3165.0,971.0,488.0,484.0,0.31,0.49,0.48,0.33,2018,new-jersey,0.82
900,female,44070.0,1084.0,547.0,537.0,0.5,0.24,0.74,0.52,2018,new-jersey,0.82
901,male,40581.0,1105.0,546.0,559.0,0.57,0.24,0.73,0.6,2018,new-jersey,0.82
902,total,3225.0,1093.0,552.0,540.0,0.5,0.24,0.73,0.53,2018,new-mexico,0.16
903,native,70.0,986.0,492.0,493.0,0.34,0.4,0.54,0.4,2018,new-mexico,0.16
904,asian,176.0,1219.0,589.0,629.0,0.72,0.11,0.84,0.77,2018,new-mexico,0.16
905,black,96.0,1019.0,521.0,498.0,0.35,0.36,0.6,0.39,2018,new-mexico,0.16
906,latino,1481.0,1029.0,522.0,507.0,0.37,0.34,0.64,0.4,2018,new-mexico,0.16
907,pacific,5.0,,,,,,,,2018,new-mexico,0.16
908,white,1202.0,1163.0,590.0,573.0,0.65,0.12,0.86,0.66,2018,new-mexico,0.16
909,multi,107.0,1173.0,591.0,582.0,0.65,0.16,0.82,0.67,2018,new-mexico,0.16
910,no_race,88.0,1014.0,515.0,500.0,0.33,0.31,0.63,0.4,2018,new-mexico,0.16
911,female,1813.0,1079.0,552.0,527.0,0.46,0.24,0.74,0.48,2018,new-mexico,0.16
912,male,1412.0,1110.0,553.0,557.0,0.55,0.24,0.73,0.58,2018,new-mexico,0.16
913,total,162551.0,1068.0,534.0,534.0,0.49,0.28,0.7,0.52,2018,new-york,0.79
914,native,894.0,931.0,471.0,461.0,0.2,0.52,0.45,0.23,2018,new-york,0.79
915,asian,18067.0,1190.0,572.0,618.0,0.71,0.13,0.8,0.77,2018,new-york,0.79
916,black,23376.0,953.0,484.0,469.0,0.24,0.47,0.51,0.26,2018,new-york,0.79
917,latino,38072.0,982.0,495.0,487.0,0.3,0.42,0.55,0.33,2018,new-york,0.79
918,pacific,230.0,1011.0,505.0,505.0,0.36,0.34,0.62,0.4,2018,new-york,0.79
919,white,67037.0,1148.0,574.0,574.0,0.67,0.11,0.87,0.7,2018,new-york,0.79
920,multi,4076.0,1124.0,566.0,558.0,0.58,0.18,0.8,0.6,2018,new-york,0.79
921,no_race,10799.0,915.0,460.0,455.0,0.21,0.59,0.38,0.23,2018,new-york,0.79
922,female,84547.0,1063.0,537.0,527.0,0.47,0.27,0.71,0.49,2018,new-york,0.79
923,male,77961.0,1074.0,531.0,543.0,0.51,0.29,0.68,0.55,2018,new-york,0.79
924,total,54987.0,1098.0,554.0,543.0,0.53,0.2,0.79,0.55,2018,north-carolina,0.52
925,native,442.0,989.0,502.0,487.0,0.29,0.39,0.6,0.3,2018,north-carolina,0.52
926,asian,2694.0,1233.0,599.0,634.0,0.77,0.09,0.88,0.81,2018,north-carolina,0.52
927,black,12273.0,961.0,489.0,473.0,0.22,0.45,0.53,0.24,2018,north-carolina,0.52
928,latino,5376.0,1047.0,530.0,517.0,0.41,0.25,0.72,0.44,2018,north-carolina,0.52
929,pacific,57.0,1074.0,549.0,524.0,0.53,0.26,0.7,0.56,2018,north-carolina,0.52
930,white,30810.0,1153.0,582.0,570.0,0.67,0.09,0.9,0.68,2018,north-carolina,0.52
931,multi,2369.0,1085.0,550.0,535.0,0.48,0.2,0.78,0.5,2018,north-carolina,0.52
932,no_race,966.0,1059.0,539.0,520.0,0.43,0.26,0.72,0.45,2018,north-carolina,0.52
933,female,30939.0,1086.0,553.0,532.0,0.49,0.2,0.79,0.51,2018,north-carolina,0.52
934,male,24047.0,1113.0,555.0,558.0,0.58,0.19,0.78,0.61,2018,north-carolina,0.52
935,total,148.0,1283.0,640.0,643.0,0.87,0.06,0.93,0.88,2018,north-dakota,0.02
936,native,0.0,,,,,,,,2018,north-dakota,0.02
937,asian,14.0,1283.0,600.0,683.0,0.79,0.21,0.79,0.79,2018,north-dakota,0.02
938,black,6.0,,,,,,,,2018,north-dakota,0.02
939,latino,7.0,,,,,,,,2018,north-dakota,0.02
940,pacific,0.0,,,,,,,,2018,north-dakota,0.02
941,white,111.0,1303.0,653.0,649.0,0.92,0.04,0.96,0.92,2018,north-dakota,0.02
942,multi,4.0,,,,,,,,2018,north-dakota,0.02
943,no_race,6.0,,,,,,,,2018,north-dakota,0.02
944,female,72.0,1267.0,641.0,626.0,0.88,0.06,0.94,0.88,2018,north-dakota,0.02
945,male,76.0,1298.0,640.0,659.0,0.87,0.07,0.92,0.88,2018,north-dakota,0.02
946,total,22992.0,1099.0,552.0,547.0,0.54,0.26,0.72,0.56,2018,ohio,0.18
947,native,62.0,1011.0,507.0,504.0,0.34,0.29,0.63,0.42,2018,ohio,0.18
948,asian,1478.0,1285.0,620.0,665.0,0.82,0.07,0.88,0.86,2018,ohio,0.18
949,black,3633.0,916.0,464.0,452.0,0.19,0.59,0.4,0.2,2018,ohio,0.18
950,latino,1424.0,1023.0,518.0,505.0,0.4,0.36,0.62,0.42,2018,ohio,0.18
951,pacific,31.0,951.0,471.0,480.0,0.23,0.55,0.42,0.26,2018,ohio,0.18
952,white,13866.0,1156.0,581.0,575.0,0.66,0.15,0.84,0.67,2018,ohio,0.18
953,multi,900.0,1099.0,556.0,543.0,0.51,0.24,0.74,0.53,2018,ohio,0.18
954,no_race,1598.0,922.0,466.0,456.0,0.19,0.58,0.4,0.21,2018,ohio,0.18
955,female,11826.0,1088.0,552.0,536.0,0.51,0.25,0.73,0.52,2018,ohio,0.18
956,male,11165.0,1110.0,551.0,559.0,0.57,0.26,0.71,0.59,2018,ohio,0.18
957,total,3337.0,1062.0,541.0,521.0,0.45,0.33,0.66,0.46,2018,oklahoma,0.08
958,native,148.0,973.0,498.0,475.0,0.27,0.43,0.55,0.29,2018,oklahoma,0.08
959,asian,229.0,1254.0,608.0,645.0,0.78,0.11,0.86,0.81,2018,oklahoma,0.08
960,black,528.0,878.0,450.0,427.0,0.11,0.66,0.33,0.12,2018,oklahoma,0.08
961,latino,497.0,988.0,503.0,486.0,0.3,0.43,0.55,0.32,2018,oklahoma,0.08
962,pacific,9.0,,,,,,,,2018,oklahoma,0.08
963,white,1475.0,1132.0,579.0,553.0,0.59,0.21,0.78,0.59,2018,oklahoma,0.08
964,multi,377.0,1082.0,554.0,528.0,0.5,0.28,0.71,0.51,2018,oklahoma,0.08
965,no_race,74.0,963.0,492.0,470.0,0.28,0.54,0.43,0.31,2018,oklahoma,0.08
966,female,1760.0,1049.0,540.0,509.0,0.42,0.32,0.67,0.43,2018,oklahoma,0.08
967,male,1573.0,1078.0,542.0,535.0,0.48,0.34,0.64,0.5,2018,oklahoma,0.08
968,total,17476.0,1117.0,564.0,553.0,0.57,0.16,0.82,0.6,2018,oregon,0.48
969,native,122.0,1022.0,518.0,504.0,0.31,0.24,0.74,0.34,2018,oregon,0.48
970,asian,1490.0,1188.0,577.0,611.0,0.7,0.11,0.82,0.77,2018,oregon,0.48
971,black,377.0,995.0,505.0,491.0,0.33,0.4,0.58,0.35,2018,oregon,0.48
972,latino,2690.0,1012.0,511.0,501.0,0.34,0.34,0.63,0.37,2018,oregon,0.48
973,pacific,90.0,1015.0,511.0,504.0,0.36,0.33,0.63,0.39,2018,oregon,0.48
974,white,11134.0,1140.0,578.0,562.0,0.63,0.11,0.87,0.65,2018,oregon,0.48
975,multi,1054.0,1134.0,576.0,559.0,0.6,0.12,0.86,0.61,2018,oregon,0.48
976,no_race,519.0,1057.0,537.0,521.0,0.43,0.29,0.68,0.45,2018,oregon,0.48
977,female,9857.0,1098.0,561.0,537.0,0.52,0.18,0.81,0.53,2018,oregon,0.48
978,male,7617.0,1142.0,567.0,574.0,0.65,0.14,0.83,0.68,2018,oregon,0.48
979,total,96740.0,1086.0,547.0,539.0,0.51,0.21,0.77,0.53,2018,pennsylvania,0.7
980,native,214.0,983.0,492.0,491.0,0.29,0.39,0.58,0.33,2018,pennsylvania,0.7
981,asian,5460.0,1198.0,579.0,618.0,0.71,0.13,0.82,0.76,2018,pennsylvania,0.7
982,black,10291.0,923.0,469.0,453.0,0.18,0.54,0.44,0.19,2018,pennsylvania,0.7
983,latino,8063.0,984.0,500.0,485.0,0.29,0.41,0.57,0.31,2018,pennsylvania,0.7
984,pacific,73.0,1033.0,519.0,513.0,0.41,0.27,0.66,0.48,2018,pennsylvania,0.7
985,white,66836.0,1120.0,565.0,555.0,0.59,0.14,0.84,0.61,2018,pennsylvania,0.7
986,multi,3199.0,1078.0,546.0,532.0,0.47,0.23,0.75,0.49,2018,pennsylvania,0.7
987,no_race,2604.0,974.0,494.0,480.0,0.3,0.43,0.54,0.32,2018,pennsylvania,0.7
988,female,52109.0,1072.0,546.0,526.0,0.47,0.22,0.77,0.48,2018,pennsylvania,0.7
989,male,44616.0,1102.0,549.0,554.0,0.56,0.21,0.77,0.59,2018,pennsylvania,0.7
990,total,10161.0,1018.0,513.0,505.0,0.38,0.37,0.61,0.4,2018,rhode-island,0.97
991,native,71.0,921.0,462.0,459.0,0.21,0.58,0.38,0.25,2018,rhode-island,0.97
992,asian,451.0,1127.0,545.0,582.0,0.58,0.23,0.73,0.63,2018,rhode-island,0.97
993,black,804.0,902.0,455.0,447.0,0.16,0.6,0.37,0.18,2018,rhode-island,0.97
994,latino,2197.0,905.0,456.0,449.0,0.18,0.62,0.36,0.2,2018,rhode-island,0.97
995,pacific,15.0,913.0,453.0,461.0,0.13,0.53,0.4,0.2,2018,rhode-island,0.97
996,white,5984.0,1073.0,542.0,530.0,0.48,0.24,0.74,0.5,2018,rhode-island,0.97
997,multi,382.0,999.0,506.0,493.0,0.33,0.4,0.59,0.35,2018,rhode-island,0.97
998,no_race,257.0,932.0,474.0,459.0,0.25,0.54,0.45,0.26,2018,rhode-island,0.97
999,female,5111.0,1014.0,517.0,497.0,0.36,0.36,0.63,0.36,2018,rhode-island,0.97
1000,male,5049.0,1021.0,508.0,513.0,0.41,0.38,0.59,0.43,2018,rhode-island,0.97
1001,total,25390.0,1070.0,547.0,523.0,0.46,0.22,0.76,0.47,2018,south-carolina,0.55
1002,native,85.0,1043.0,531.0,512.0,0.35,0.22,0.71,0.42,2018,south-carolina,0.55
1003,asian,768.0,1186.0,578.0,608.0,0.71,0.12,0.84,0.74,2018,south-carolina,0.55
1004,black,6090.0,938.0,482.0,456.0,0.17,0.49,0.5,0.18,2018,south-carolina,0.55
1005,latino,1647.0,1055.0,540.0,515.0,0.42,0.23,0.75,0.44,2018,south-carolina,0.55
1006,pacific,25.0,1033.0,519.0,514.0,0.44,0.28,0.72,0.44,2018,south-carolina,0.55
1007,white,15307.0,1119.0,572.0,547.0,0.56,0.12,0.86,0.58,2018,south-carolina,0.55
1008,multi,1064.0,1086.0,557.0,529.0,0.48,0.19,0.81,0.49,2018,south-carolina,0.55
1009,no_race,404.0,1007.0,519.0,489.0,0.34,0.34,0.65,0.35,2018,south-carolina,0.55
1010,female,14338.0,1059.0,547.0,512.0,0.41,0.23,0.77,0.42,2018,south-carolina,0.55
1011,male,11045.0,1085.0,547.0,538.0,0.51,0.22,0.76,0.53,2018,south-carolina,0.55
1012,total,260.0,1241.0,622.0,618.0,0.76,0.08,0.9,0.78,2018,south-dakota,0.03
1013,native,5.0,,,,,,,,2018,south-dakota,0.03
1014,asian,25.0,1329.0,636.0,694.0,0.84,0.04,0.88,0.92,2018,south-dakota,0.03
1015,black,9.0,,,,,,,,2018,south-dakota,0.03
1016,latino,16.0,1041.0,536.0,506.0,0.38,0.44,0.56,0.38,2018,south-dakota,0.03
1017,pacific,1.0,,,,,,,,2018,south-dakota,0.03
1018,white,188.0,1276.0,643.0,634.0,0.85,0.04,0.96,0.85,2018,south-dakota,0.03
1019,multi,11.0,1089.0,556.0,533.0,0.36,0.09,0.91,0.36,2018,south-dakota,0.03
1020,no_race,5.0,,,,,,,,2018,south-dakota,0.03
1021,female,128.0,1210.0,618.0,592.0,0.7,0.09,0.89,0.72,2018,south-dakota,0.03
1022,male,132.0,1271.0,627.0,643.0,0.82,0.07,0.92,0.83,2018,south-dakota,0.03
1023,total,4181.0,1231.0,624.0,607.0,0.76,0.07,0.92,0.77,2018,tennessee,0.06
1024,native,15.0,1119.0,569.0,550.0,0.53,0.2,0.8,0.53,2018,tennessee,0.06
1025,asian,462.0,1332.0,645.0,686.0,0.89,0.03,0.93,0.92,2018,tennessee,0.06
1026,black,342.0,1082.0,557.0,525.0,0.53,0.2,0.8,0.54,2018,tennessee,0.06
1027,latino,266.0,1163.0,594.0,569.0,0.66,0.09,0.9,0.67,2018,tennessee,0.06
1028,pacific,3.0,,,,,,,,2018,tennessee,0.06
1029,white,2774.0,1249.0,636.0,613.0,0.79,0.04,0.95,0.8,2018,tennessee,0.06
1030,multi,178.0,1243.0,630.0,613.0,0.76,0.06,0.94,0.76,2018,tennessee,0.06
1031,no_race,141.0,1036.0,532.0,504.0,0.43,0.35,0.65,0.43,2018,tennessee,0.06
1032,female,2210.0,1213.0,621.0,592.0,0.72,0.07,0.92,0.73,2018,tennessee,0.06
1033,male,1971.0,1251.0,627.0,624.0,0.8,0.06,0.92,0.81,2018,tennessee,0.06
1034,total,226374.0,1032.0,520.0,512.0,0.4,0.33,0.65,0.42,2018,texas,0.66
1035,native,1180.0,967.0,487.0,480.0,0.27,0.45,0.53,0.3,2018,texas,0.66
1036,asian,14902.0,1215.0,593.0,622.0,0.75,0.11,0.85,0.78,2018,texas,0.66
1037,black,27884.0,942.0,478.0,463.0,0.21,0.5,0.49,0.22,2018,texas,0.66
1038,latino,101816.0,973.0,490.0,482.0,0.27,0.44,0.54,0.29,2018,texas,0.66
1039,pacific,317.0,1010.0,505.0,505.0,0.32,0.35,0.62,0.36,2018,texas,0.66
1040,white,69127.0,1120.0,567.0,554.0,0.59,0.15,0.83,0.61,2018,texas,0.66
1041,multi,5901.0,1095.0,555.0,540.0,0.51,0.21,0.78,0.52,2018,texas,0.66
1042,no_race,5247.0,929.0,468.0,461.0,0.22,0.55,0.43,0.24,2018,texas,0.66
1043,female,119684.0,1026.0,522.0,504.0,0.37,0.33,0.66,0.38,2018,texas,0.66
1044,male,106619.0,1039.0,518.0,522.0,0.43,0.34,0.63,0.46,2018,texas,0.66
1045,total,1425.0,1230.0,618.0,612.0,0.76,0.07,0.92,0.77,2018,utah,0.04
1046,native,0.0,,,,,,,,2018,utah,0.04
1047,asian,170.0,1255.0,602.0,652.0,0.79,0.08,0.85,0.86,2018,utah,0.04
1048,black,22.0,1101.0,562.0,539.0,0.36,0.14,0.86,0.36,2018,utah,0.04
1049,latino,128.0,1144.0,581.0,563.0,0.61,0.14,0.85,0.62,2018,utah,0.04
1050,pacific,6.0,,,,,,,,2018,utah,0.04
1051,white,945.0,1252.0,633.0,619.0,0.81,0.05,0.95,0.81,2018,utah,0.04
1052,multi,69.0,1252.0,623.0,629.0,0.83,0.06,0.93,0.84,2018,utah,0.04
1053,no_race,85.0,1098.0,565.0,533.0,0.46,0.19,0.8,0.47,2018,utah,0.04
1054,female,746.0,1199.0,610.0,589.0,0.71,0.08,0.91,0.72,2018,utah,0.04
1055,male,678.0,1264.0,627.0,637.0,0.82,0.06,0.92,0.83,2018,utah,0.04
1056,total,4323.0,1120.0,565.0,554.0,0.58,0.16,0.81,0.61,2018,vermont,0.64
1057,native,21.0,968.0,488.0,480.0,0.24,0.43,0.48,0.33,2018,vermont,0.64
1058,asian,188.0,1190.0,558.0,633.0,0.7,0.1,0.78,0.81,2018,vermont,0.64
1059,black,124.0,964.0,495.0,469.0,0.27,0.45,0.53,0.28,2018,vermont,0.64
1060,latino,137.0,1107.0,557.0,550.0,0.57,0.23,0.74,0.6,2018,vermont,0.64
1061,pacific,1.0,,,,,,,,2018,vermont,0.64
1062,white,3615.0,1126.0,570.0,556.0,0.6,0.14,0.84,0.62,2018,vermont,0.64
1063,multi,138.0,1087.0,557.0,530.0,0.44,0.2,0.79,0.46,2018,vermont,0.64
1064,no_race,99.0,1047.0,534.0,513.0,0.45,0.31,0.68,0.46,2018,vermont,0.64
1065,female,2264.0,1106.0,565.0,541.0,0.53,0.17,0.81,0.55,2018,vermont,0.64
1066,male,2059.0,1135.0,566.0,570.0,0.64,0.15,0.82,0.67,2018,vermont,0.64
1067,total,61576.0,1117.0,567.0,550.0,0.55,0.17,0.82,0.57,2018,virginia,0.68
1068,native,167.0,1060.0,542.0,518.0,0.4,0.2,0.78,0.42,2018,virginia,0.68
1069,asian,5842.0,1241.0,606.0,634.0,0.79,0.07,0.9,0.82,2018,virginia,0.68
1070,black,11623.0,975.0,499.0,475.0,0.24,0.4,0.59,0.25,2018,virginia,0.68
1071,latino,6338.0,1074.0,546.0,528.0,0.47,0.21,0.77,0.49,2018,virginia,0.68
1072,pacific,68.0,1099.0,559.0,541.0,0.53,0.18,0.82,0.53,2018,virginia,0.68
1073,white,32692.0,1156.0,589.0,568.0,0.64,0.09,0.9,0.66,2018,virginia,0.68
1074,multi,3576.0,1119.0,570.0,549.0,0.55,0.15,0.84,0.56,2018,virginia,0.68
1075,no_race,1270.0,1056.0,539.0,517.0,0.42,0.26,0.73,0.43,2018,virginia,0.68
1076,female,32821.0,1104.0,566.0,537.0,0.51,0.17,0.82,0.52,2018,virginia,0.68
1077,male,28754.0,1132.0,567.0,565.0,0.6,0.16,0.82,0.62,2018,virginia,0.68
1078,total,48574.0,1081.0,543.0,538.0,0.51,0.25,0.73,0.53,2018,washington,0.69
1079,native,433.0,980.0,492.0,488.0,0.32,0.43,0.55,0.34,2018,washington,0.69
1080,asian,5356.0,1165.0,567.0,597.0,0.66,0.17,0.78,0.7,2018,washington,0.69
1081,black,2343.0,942.0,477.0,465.0,0.23,0.5,0.48,0.25,2018,washington,0.69
1082,latino,7683.0,976.0,492.0,485.0,0.28,0.45,0.53,0.31,2018,washington,0.69
1083,pacific,597.0,935.0,470.0,465.0,0.22,0.54,0.43,0.26,2018,washington,0.69
1084,white,25025.0,1130.0,570.0,560.0,0.62,0.14,0.84,0.64,2018,washington,0.69
1085,multi,3075.0,1117.0,563.0,554.0,0.56,0.18,0.8,0.58,2018,washington,0.69
1086,no_race,4062.0,949.0,478.0,471.0,0.25,0.51,0.46,0.27,2018,washington,0.69
1087,female,25886.0,1073.0,545.0,528.0,0.47,0.25,0.74,0.49,2018,washington,0.69
1088,male,22660.0,1091.0,541.0,550.0,0.55,0.25,0.71,0.58,2018,washington,0.69
1089,total,5058.0,999.0,513.0,486.0,0.29,0.37,0.61,0.31,2018,west-virginia,0.28
1090,native,13.0,885.0,455.0,430.0,0.0,0.62,0.31,0.08,2018,west-virginia,0.28
1091,asian,114.0,1246.0,606.0,640.0,0.76,0.08,0.89,0.8,2018,west-virginia,0.28
1092,black,264.0,901.0,467.0,434.0,0.13,0.6,0.4,0.13,2018,west-virginia,0.28
1093,latino,101.0,1099.0,557.0,541.0,0.49,0.15,0.85,0.49,2018,west-virginia,0.28
1094,pacific,1.0,,,,,,,,2018,west-virginia,0.28
1095,white,4234.0,998.0,514.0,484.0,0.29,0.37,0.62,0.3,2018,west-virginia,0.28
1096,multi,156.0,1040.0,537.0,503.0,0.38,0.25,0.72,0.41,2018,west-virginia,0.28
1097,no_race,175.0,934.0,480.0,454.0,0.17,0.5,0.49,0.18,2018,west-virginia,0.28
1098,female,2917.0,994.0,515.0,478.0,0.26,0.36,0.63,0.27,2018,west-virginia,0.28
1099,male,2128.0,1007.0,511.0,496.0,0.33,0.38,0.6,0.35,2018,west-virginia,0.28
1100,total,1923.0,1294.0,641.0,653.0,0.85,0.03,0.95,0.87,2018,wisconsin,0.03
1101,native,5.0,,,,,,,,2018,wisconsin,0.03
1102,asian,356.0,1309.0,617.0,692.0,0.86,0.03,0.89,0.94,2018,wisconsin,0.03
1103,black,72.0,1067.0,537.0,530.0,0.42,0.29,0.71,0.42,2018,wisconsin,0.03
1104,latino,82.0,1201.0,610.0,591.0,0.77,0.04,0.96,0.77,2018,wisconsin,0.03
1105,pacific,0.0,,,,,,,,2018,wisconsin,0.03
1106,white,1284.0,1311.0,656.0,655.0,0.87,0.01,0.98,0.88,2018,wisconsin,0.03
1107,multi,82.0,1304.0,657.0,648.0,0.87,0.0,1.0,0.87,2018,wisconsin,0.03
1108,no_race,42.0,1195.0,588.0,608.0,0.74,0.12,0.86,0.76,2018,wisconsin,0.03
1109,female,977.0,1275.0,639.0,636.0,0.82,0.03,0.95,0.84,2018,wisconsin,0.03
1110,male,946.0,1313.0,643.0,671.0,0.87,0.03,0.95,0.9,2018,wisconsin,0.03
1111,total,169.0,1257.0,633.0,625.0,0.86,0.07,0.93,0.86,2018,wyoming,0.03
1112,native,0.0,,,,,,,,2018,wyoming,0.03
1113,asian,5.0,,,,,,,,2018,wyoming,0.03
1114,black,2.0,,,,,,,,2018,wyoming,0.03
1115,latino,11.0,1102.0,541.0,561.0,0.73,0.27,0.73,0.73,2018,wyoming,0.03
1116,pacific,0.0,,,,,,,,2018,wyoming,0.03
1117,white,142.0,1280.0,643.0,637.0,0.89,0.04,0.96,0.89,2018,wyoming,0.03
1118,multi,5.0,,,,,,,,2018,wyoming,0.03
1119,no_race,4.0,,,,,,,,2018,wyoming,0.03
1120,female,85.0,1236.0,630.0,605.0,0.84,0.07,0.93,0.84,2018,wyoming,0.03
1121,male,84.0,1279.0,635.0,645.0,0.89,0.06,0.94,0.89,2018,wyoming,0.03
1122,total,3240.0,1143.0,583.0,560.0,0.58,0.15,0.83,0.59,2019,alabama,0.07
1123,native,8.0,,,,,,,,2019,alabama,0.07
1124,asian,282.0,1302.0,628.0,674.0,0.83,0.04,0.9,0.88,2019,alabama,0.07
1125,black,758.0,982.0,507.0,476.0,0.24,0.4,0.59,0.25,2019,alabama,0.07
1126,latino,158.0,1117.0,573.0,544.0,0.57,0.15,0.84,0.58,2019,alabama,0.07
1127,pacific,2.0,,,,,,,,2019,alabama,0.07
1128,white,1838.0,1191.0,610.0,581.0,0.69,0.06,0.93,0.7,2019,alabama,0.07
1129,multi,136.0,1145.0,589.0,556.0,0.56,0.13,0.87,0.56,2019,alabama,0.07
1130,no_race,58.0,1028.0,530.0,498.0,0.34,0.29,0.64,0.41,2019,alabama,0.07
1131,female,1872.0,1128.0,581.0,547.0,0.54,0.15,0.84,0.55,2019,alabama,0.07
1132,male,1367.0,1165.0,587.0,578.0,0.64,0.16,0.83,0.66,2019,alabama,0.07
1133,total,3212.0,1097.0,556.0,541.0,0.53,0.19,0.79,0.55,2019,alaska,0.41
1134,native,163.0,951.0,475.0,477.0,0.26,0.49,0.48,0.28,2019,alaska,0.41
1135,asian,314.0,1065.0,526.0,538.0,0.48,0.27,0.67,0.54,2019,alaska,0.41
1136,black,90.0,955.0,486.0,469.0,0.21,0.43,0.56,0.22,2019,alaska,0.41
1137,latino,293.0,1052.0,534.0,518.0,0.4,0.22,0.77,0.41,2019,alaska,0.41
1138,pacific,40.0,974.0,483.0,491.0,0.3,0.48,0.53,0.3,2019,alaska,0.41
1139,white,1763.0,1139.0,581.0,559.0,0.61,0.11,0.87,0.63,2019,alaska,0.41
1140,multi,434.0,1095.0,551.0,544.0,0.54,0.23,0.75,0.56,2019,alaska,0.41
1141,no_race,115.0,1021.0,527.0,494.0,0.35,0.34,0.66,0.35,2019,alaska,0.41
1142,female,1780.0,1082.0,554.0,528.0,0.47,0.2,0.78,0.49,2019,alaska,0.41
1143,male,1431.0,1115.0,558.0,557.0,0.6,0.18,0.79,0.62,2019,alaska,0.41
1144,total,21472.0,1134.0,569.0,565.0,0.62,0.15,0.83,0.64,2019,arizona,0.31
1145,native,188.0,999.0,498.0,501.0,0.36,0.36,0.6,0.4,2019,arizona,0.31
1146,asian,1646.0,1262.0,613.0,649.0,0.83,0.05,0.92,0.87,2019,arizona,0.31
1147,black,854.0,1027.0,519.0,507.0,0.38,0.33,0.64,0.41,2019,arizona,0.31
1148,latino,6708.0,1062.0,535.0,527.0,0.47,0.25,0.73,0.49,2019,arizona,0.31
1149,pacific,55.0,1107.0,555.0,552.0,0.55,0.18,0.8,0.56,2019,arizona,0.31
1150,white,10353.0,1176.0,591.0,585.0,0.72,0.08,0.91,0.74,2019,arizona,0.31
1151,multi,1048.0,1160.0,584.0,576.0,0.66,0.11,0.88,0.68,2019,arizona,0.31
1152,no_race,620.0,1011.0,507.0,503.0,0.36,0.39,0.58,0.39,2019,arizona,0.31
1153,female,11848.0,1118.0,567.0,552.0,0.58,0.16,0.83,0.59,2019,arizona,0.31
1154,male,9613.0,1153.0,571.0,582.0,0.67,0.15,0.83,0.7,2019,arizona,0.31
1155,total,1790.0,1141.0,582.0,559.0,0.59,0.17,0.81,0.61,2019,arkansas,0.06
1156,native,12.0,1012.0,522.0,490.0,0.33,0.42,0.58,0.33,2019,arkansas,0.06
1157,asian,131.0,1254.0,617.0,638.0,0.78,0.08,0.89,0.82,2019,arkansas,0.06
1158,black,159.0,1023.0,528.0,495.0,0.35,0.25,0.7,0.4,2019,arkansas,0.06
1159,latino,228.0,1047.0,534.0,513.0,0.41,0.3,0.69,0.42,2019,arkansas,0.06
1160,pacific,2.0,,,,,,,,2019,arkansas,0.06
1161,white,1063.0,1185.0,606.0,579.0,0.68,0.1,0.88,0.69,2019,arkansas,0.06
1162,multi,85.0,1144.0,578.0,566.0,0.65,0.19,0.81,0.65,2019,arkansas,0.06
1163,no_race,110.0,959.0,493.0,466.0,0.23,0.49,0.49,0.25,2019,arkansas,0.06
1164,female,1014.0,1119.0,576.0,543.0,0.53,0.17,0.82,0.55,2019,arkansas,0.06
1165,male,776.0,1170.0,589.0,581.0,0.66,0.17,0.81,0.69,2019,arkansas,0.06
1166,total,272892.0,1065.0,534.0,531.0,0.46,0.3,0.68,0.49,2019,california,0.63
1167,native,899.0,950.0,481.0,469.0,0.25,0.48,0.49,0.27,2019,california,0.63
1168,asian,46827.0,1214.0,591.0,623.0,0.74,0.12,0.85,0.78,2019,california,0.63
1169,black,13186.0,948.0,485.0,463.0,0.23,0.48,0.51,0.25,2019,california,0.63
1170,latino,132151.0,976.0,494.0,482.0,0.28,0.43,0.55,0.31,2019,california,0.63
1171,pacific,1211.0,1003.0,502.0,501.0,0.36,0.39,0.58,0.38,2019,california,0.63
1172,white,59167.0,1168.0,588.0,580.0,0.68,0.11,0.88,0.7,2019,california,0.63
1173,multi,12319.0,1160.0,583.0,577.0,0.65,0.13,0.85,0.66,2019,california,0.63
1174,no_race,7132.0,964.0,486.0,478.0,0.29,0.52,0.47,0.31,2019,california,0.63
1175,female,147651.0,1053.0,533.0,519.0,0.43,0.3,0.68,0.44,2019,california,0.63
1176,male,125112.0,1081.0,535.0,545.0,0.51,0.29,0.68,0.54,2019,california,0.63
1177,total,59494.0,1024.0,518.0,506.0,0.39,0.36,0.62,0.41,2019,colorado,1.0
1178,native,607.0,898.0,453.0,445.0,0.15,0.62,0.36,0.18,2019,colorado,1.0
